x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x17,x18,x19
y,5000,42,u,n,n,M,S,n,p,n,p,0,m,32,K,a,n
y,5000,47,o,n,n,M,M,n,p,n,p,0,m,16,V,a,n
y,5000,64,s,n,n,M,M,n,p,n,p,0,s,9,G,a,n
y,3000,46,g,n,n,M,S,n,p,n,p,0,s,9,D,a,e
y,2000,58,v,n,n,F,W,n,p,n,p,0,m,9,G,a,n
y,2000,67,t,n,n,F,M,n,p,n,p,0,m,6,V,a,n
y,2000,45,s,n,n,F,M,n,p,n,p,0,m,43,G,p,n
y,5000,50,s,n,n,F,M,n,p,n,p,0,m,18,V,a,n
y,5000,44,t,n,n,M,S,n,p,n,p,0,m,11,S,a,n
y,5000,47,m,n,n,M,M,n,p,n,p,0,m,18,V,a,n
y,5000,43,t,n,n,M,S,n,p,n,p,0,m,40,M,a,n
y,1000,53,u,n,n,M,M,n,p,n,p,0,s,54,N,p,n
y,4000,56,v,n,n,M,S,n,p,n,p,0,m,1,V,a,n
y,5000,55,s,n,n,M,M,n,p,n,p,0,s,2,V,v,n
y,2000,22,u,n,n,M,M,n,p,n,c,10,m,33,V,p,n
y,5000,22,a,n,n,F,S,n,p,n,c,80,m,16,J,a,n
y,5000,29,s,n,n,M,M,n,p,n,c,10,m,5,W,a,n
y,5000,27,s,n,n,F,S,n,p,n,c,20,m,24,S,p,n
y,5000,21,a,n,n,F,M,n,p,n,c,18,m,13,V,p,n
y,2000,34,d,n,n,M,M,n,p,n,p,0,m,25,P,a,e
y,5000,29,s,n,n,M,M,n,p,n,p,0,m,22,V,a,n
y,4000,21,u,n,n,M,M,n,p,n,p,0,s,6,D,a,n
y,5000,34,t,n,n,M,M,n,p,n,p,0,m,5,J,a,n
y,4000,31,s,n,n,M,M,n,p,n,p,0,m,26,P,p,n
y,1000,29,v,n,n,M,M,n,p,n,p,0,s,78,W,a,e
y,1000,31,v,n,n,F,M,n,p,n,p,0,m,48,J,a,e
y,5000,39,s,n,n,M,M,n,p,n,p,0,s,2,V,p,n
y,3000,32,t,n,n,M,S,n,p,n,p,0,m,0,V,a,n
y,1000,27,v,n,n,M,M,n,p,n,p,0,s,3,V,a,n
y,2000,26,u,n,n,M,M,n,p,n,p,0,m,3,J,a,h
y,1000,18,s,n,n,F,M,n,p,n,p,0,m,9,G,a,n
y,5000,18,v,n,n,F,M,n,p,n,p,0,m,8,V,a,n
y,2000,18,c,n,n,M,M,n,p,n,p,0,m,8,K,a,n
y,5000,16,t,n,n,M,W,n,p,n,p,0,m,6,V,a,n
y,5000,16,t,n,n,M,S,n,p,n,p,0,m,44,V,p,n
y,1000,15,s,n,n,M,M,n,p,n,p,0,s,3,V,a,n
y,1000,46,t,n,n,F,M,y,p,y,p,0,m,52,V,a,n
y,5000,62,v,n,n,F,M,n,p,y,p,0,s,8,V,a,n
y,3000,46,s,n,n,F,M,n,p,y,p,0,s,45,D,a,n
y,5000,36,c,n,n,F,S,n,p,y,b,0,m,3,K,a,s
y,4000,33,t,n,y,F,D,n,p,y,p,0,m,6,V,a,n
y,3000,24,n,n,n,M,M,n,p,y,p,0,m,47,P,a,n
